index,pos,driver,gap,lap no
16,5,Lance,+4.494,2
16,6,Daniel,+5.171,2
16,7,Pierre,+5.957,2
16,8,Lando,+6.748,2
16,9,Alexander,+7.292,2
16,10,Charles,+7.723,2
16,11,Carlos,+8.505,2
16,12,Esteban,+9.169,2
16,13,Kevin,+9.724,2
16,14,Daniil,+10.242,2
16,15,Antonio,+11.111,2
16,16,Romain,+11.415,2
16,17,George,+11.914,2
16,18,Nicholas,+12.459,2
16,19,Kimi,+12.762,2
16,20,Sebastian,+13.147,2
17,1,Valtteri,LEADER,2
17,2,Lewis,+0.973,2
17,3,Max,+2.533,2
17,4,Nico,+3.516,2
17,5,Lance,+4.478,2
17,6,Daniel,+5.227,2
17,7,Pierre,+6.092,2
17,8,Lando,+6.907,2
17,9,Alexander,+7.481,2
17,10,Charles,+8.053,2
17,11,Carlos,+8.726,2
17,12,Esteban,+9.169,2
17,13,Kevin,+9.724,2
17,14,Daniil,+10.242,2
17,15,Antonio,+11.401,2
17,16,Romain,+11.776,2
17,17,George,+12.370,2
17,18,Nicholas,+12.848,2
17,19,Kimi,+13.254,2
17,20,Sebastian,+13.431,2
18,1,Valtteri,LEADER,2
18,2,Lewis,+0.955,2
18,3,Max,+2.577,2
18,4,Nico,+3.504,2
18,5,Lance,+4.431,2
18,6,Daniel,+5.231,2
18,7,Pierre,+6.099,2
18,8,Lando,+6.911,2
18,9,Alexander,+7.491,2
18,10,Charles,+8.073,2
18,11,Carlos,+8.727,2
18,12,Esteban,+9.353,2
18,13,Kevin,+10.042,2
18,14,Daniil,+10.467,2
18,15,Antonio,+11.568,2
18,16,Romain,+12.192,2
18,17,George,+12.661,2
18,18,Nicholas,+13.383,2
18,19,Kimi,+13.674,2
18,20,Sebastian,+13.988,2
19,1,Valtteri,LEADER,2
19,2,Lewis,+1.155,2
19,3,Max,+2.742,2
19,4,Nico,+3.862,2
19,5,Lance,+4.824,2
19,6,Daniel,+5.744,2
19,7,Pierre,+6.083,2
19,8,Lando,+7.019,2
19,9,Alexander,+7.566,2
19,10,Charles,+7.986,2
19,11,Carlos,+8.885,2
19,12,Esteban,+9.422,2
19,13,Kevin,+10.015,2
19,14,Daniil,+10.444,2
19,15,Antonio,+11.541,2
19,16,Romain,+12.169,2
19,17,George,+12.616,2
19,18,Nicholas,+13.372,2
19,19,Kimi,+13.640,2
19,20,Sebastian,+13.886,2
20,1,Valtteri,LEADER,2
20,2,Lewis,+1.079,2
20,3,Max,+2.814,2
20,4,Nico,+4.105,2
20,5,Lance,+4.921,2
