index,pos,driver,gap,lap no
24,13,Daniel,- -,1
24,14,Kimi,- -,1
24,15,Esteban,- -,1
24,16,Kevin,- -,1
24,17,Romain,- -,1
24,18,George,- -,1
24,19,Nicholas,- -,1
24,20,Antonio,- -,1
25,1,Lewis,LEADER,1
25,2,Valtteri,- -,1
25,3,Max,- -,1
25,4,Sergio,- -,1
25,5,Lance,- -,1
25,6,Alexander,- -,1
25,7,Carlos,- -,1
25,8,Lando,- -,1
25,9,Charles,- -,1
25,10,Pierre,- -,1
25,11,Sebastian,- -,1
25,12,Daniil,- -,1
25,13,Daniel,- -,1
25,14,Kimi,- -,1
25,15,Esteban,- -,1
25,16,Kevin,- -,1
25,17,Romain,- -,1
25,18,George,- -,1
25,19,Nicholas,- -,1
25,20,Antonio,- -,1
26,1,Lewis,LEADER,1
26,2,Valtteri,+0.261,1
26,3,Max,+0.351,1
26,4,Sergio,+0.621,1
26,5,Lance,+0.511,1
26,6,Alexander,+0.684,1
26,7,Carlos,+0.872,1
26,8,Lando,+0.895,1
26,9,Charles,+1.025,1
26,10,Pierre,+1.138,1
26,11,Sebastian,+1.254,1
26,12,Daniil,+1.329,1
26,13,Daniel,+1.806,1
26,14,Kimi,+1.741,1
26,15,Esteban,+1.915,1
26,16,Kevin,+1.840,1
26,17,Romain,+1.957,1
26,18,George,+1.947,1
26,19,Nicholas,+2.037,1
26,20,Antonio,+2.156,1
27,1,Lewis,LEADER,1
27,2,Max,+0.949,1
27,3,Lance,+2.170,1
27,4,Valtteri,+2.841,1
27,5,Sergio,+3.593,1
27,6,Alexander,+3.999,1
27,7,Carlos,+4.391,1
27,8,Pierre,+4.762,1
27,9,Charles,+5.143,1
27,10,Lando,+5.223,1
27,11,Sebastian,+6.148,1
27,12,Daniel,+6.837,1
27,13,Daniil,+6.987,1
27,14,Kimi,+6.651,1
27,15,Kevin,+6.920,1
27,16,Esteban,+7.197,1
27,17,George,+7.531,1
27,18,Romain,+8.451,1
27,19,Antonio,+8.749,1
27,20,Nicholas,+9.512,1
28,1,Lewis,LEADER,1
28,2,Max,+1.265,1
28,3,Lance,+2.600,1
28,4,Valtteri,+3.150,1
28,5,Sergio,+4.138,1
28,6,Alexander,+4.803,1
28,7,Carlos,+5.315,1
28,8,Pierre,+5.912,1
28,9,Charles,+6.392,1
28,10,Lando,+6.668,1
28,11,Sebastian,+7.241,1
28,12,Daniel,+7.331,1
28,13,Daniil,+7.826,1
28,14,Kimi,+8.496,1
28,15,Kevin,+8.556,1
28,16,Esteban,+8.832,1
28,17,George,+9.154,1
28,18,Romain,+9.204,1
28,19,Antonio,+9.777,1
28,20,Nicholas,+10.368,1
29,1,Lewis,LEADER,1
29,2,Max,+1.459,1
29,3,Lance,+2.847,1
29,4,Valtteri,+3.267,1
29,5,Sergio,+4.418,1
29,6,Alexander,+5.166,1
29,7,Carlos,+5.988,1
29,8,Pierre,+6.634,1
29,9,Charles,+7.148,1
29,10,Lando,+7.681,1
29,11,Sebastian,+8.100,1
29,12,Daniel,+8.499,1
29,13,Daniil,+8.943,1
29,14,Kimi,+9.901,1
29,15,Kevin,+10.234,1
29,16,Esteban,+10.570,1
29,17,George,+10.741,1
29,18,Romain,+11.223,1
29,19,Antonio,+11.581,1
29,20,Nicholas,+12.157,1
30,1,Lewis,LEADER,2
30,2,Max,+1.568,2
30,3,Lance,+2.933,2
30,4,Valtteri,+3.379,2
30,5,Sergio,+4.371,2
30,6,Alexander,+5.372,2
30,7,Carlos,+6.426,2
30,8,Pierre,+7.608,2
30,9,Charles,+8.158,2
30,10,Lando,+8.800,2
30,11,Sebastian,+9.490,2
30,12,Daniel,+9.906,2
30,13,Daniil,+9.907,2
30,14,Kimi,+11.298,2
30,15,Kevin,+11.814,2
30,16,Esteban,+12.471,2
30,17,George,+13.078,2
30,18,Romain,+13.598,2
30,19,Antonio,+14.145,2
30,20,Nicholas,+14.602,2
31,1,Lewis,LEADER,2
31,2,Max,+1.557,2
31,3,Lance,+3.003,2
31,4,Valtteri,+3.556,2
31,5,Sergio,+4.526,2
31,6,Alexander,+5.482,2
31,7,Carlos,+6.633,2
31,8,Pierre,+7.686,2
31,9,Charles,+8.253,2
31,10,Lando,+8.901,2
31,11,Sebastian,+9.624,2
31,12,Daniel,+9.984,2
31,13,Daniil,+10.295,2
31,14,Kevin,+11.495,2
31,15,Kimi,+12.051,2
31,16,Esteban,+12.657,2
31,17,Romain,+13.346,2
31,18,George,+13.925,2
31,19,Antonio,+14.506,2
31,20,Nicholas,+14.999,2
32,1,Lewis,LEADER,2
32,2,Max,+1.631,2
32,3,Lance,+2.943,2
32,4,Valtteri,+3.499,2
32,5,Sergio,+4.647,2
32,6,Alexander,+5.639,2
32,7,Carlos,+6.791,2
32,8,Pierre,+8.085,2
32,9,Charles,+8.623,2
32,10,Lando,+9.483,2
32,11,Sebastian,+10.187,2
32,12,Daniel,+11.039,2
32,13,Daniil,+11.747,2
32,14,Kevin,+12.342,2
32,15,Kimi,+12.804,2
32,16,Esteban,+13.545,2
32,17,Romain,+14.343,2
32,18,George,+15.115,2
32,19,Antonio,+15.706,2
32,20,Nicholas,+16.561,2
33,1,Lewis,LEADER,2
33,2,Max,+1.631,2
33,3,Lance,+3.215,2
33,4,Valtteri,+3.733,2
33,5,Sergio,+4.647,2
33,6,Alexander,+5.639,2
33,7,Carlos,+6.791,2
33,8,Pierre,+8.085,2
33,9,Charles,+8.623,2
33,10,Lando,+9.483,2
33,11,Sebastian,+10.187,2
33,12,Daniel,+11.002,2
33,13,Daniil,+11.714,2
33,14,Kevin,+12.483,2
33,15,Kimi,+12.869,2
33,16,Esteban,+13.636,2
33,17,Romain,+14.405,2
33,18,George,+15.115,2
33,19,Antonio,+15.706,2
33,20,Nicholas,+16.753,2
34,1,Lewis,LEADER,2
34,2,Max,+1.631,2
34,3,Lance,+3.215,2
34,4,Valtteri,+3.733,2
34,5,Sergio,+4.872,2
34,6,Alexander,+5.874,2
34,7,Carlos,+6.791,2
34,8,Pierre,+8.085,2
34,9,Charles,+8.623,2
34,10,Lando,+9.483,2
34,11,Sebastian,+10.187,2
34,12,Daniel,+11.002,2
34,13,Daniil,+11.714,2
34,14,Kevin,+12.483,2
34,15,Kimi,+12.866,2
34,16,Esteban,+13.663,2
34,17,Romain,+14.385,2
34,18,George,+15.223,2
34,19,Antonio,+15.814,2
34,20,Nicholas,+16.846,2
35,1,Lewis,LEADER,2
35,2,Max,+1.644,2
35,3,Lance,+3.422,2
35,4,Valtteri,+3.914,2
35,5,Sergio,+4.872,2
35,6,Alexander,+5.874,2
35,7,Carlos,+7.085,2
35,8,Pierre,+8.318,2
35,9,Charles,+8.962,2
35,10,Lando,+9.483,2
35,11,Sebastian,+10.187,2
35,12,Daniel,+11.002,2
35,13,Daniil,+11.714,2
35,14,Kevin,+12.483,2
35,15,Kimi,+12.866,2
35,16,Esteban,+13.663,2
35,17,Romain,+14.385,2
35,18,George,+15.240,2
35,19,Antonio,+15.807,2
35,20,Nicholas,+16.833,2
36,1,Lewis,LEADER,2
36,2,Max,+1.680,2
36,3,Lance,+3.422,2
36,4,Valtteri,+3.914,2
36,5,Sergio,+5.006,2
36,6,Alexander,+6.005,2
36,7,Carlos,+7.085,2
36,8,Pierre,+8.318,2
36,9,Charles,+8.962,2
36,10,Lando,+9.894,2
36,11,Sebastian,+10.582,2
36,12,Daniel,+11.519,2
36,13,Daniil,+11.714,2
36,14,Kevin,+12.483,2
36,15,Kimi,+12.866,2
36,16,Esteban,+13.663,2
36,17,Romain,+14.385,2
36,18,George,+15.240,2
36,19,Antonio,+15.807,2
36,20,Nicholas,+16.833,2
37,1,Lewis,LEADER,2
37,2,Max,+1.680,2
37,3,Lance,+3.502,2
37,4,Valtteri,+4.005,2
37,5,Sergio,+5.006,2
37,6,Alexander,+6.005,2
37,7,Carlos,+7.371,2
37,8,Pierre,+8.473,2
37,9,Charles,+8.962,2
37,10,Lando,+9.894,2
37,11,Sebastian,+10.582,2
37,12,Daniel,+11.519,2
37,13,Daniil,+12.149,2
37,14,Kevin,+12.928,2
37,15,Kimi,+12.866,2
37,16,Esteban,+13.663,2
37,17,Romain,+14.385,2
37,18,George,+15.240,2
37,19,Antonio,+15.807,2
37,20,Nicholas,+16.833,2
38,1,Lewis,LEADER,2
38,2,Max,+1.680,2
38,3,Lance,+3.502,2
38,4,Valtteri,+4.005,2
38,5,Sergio,+5.084,2
38,6,Alexander,+6.107,2
38,7,Carlos,+7.371,2
38,8,Pierre,+8.473,2
38,9,Charles,+9.111,2
38,10,Lando,+10.070,2
38,11,Sebastian,+10.785,2
38,12,Daniel,+11.519,2
38,13,Daniil,+12.149,2
38,14,Kevin,+12.928,2
38,15,Kimi,+13.471,2
38,16,Esteban,+14.087,2
38,17,Romain,+15.025,2
38,18,George,+15.729,2
38,19,Antonio,+16.375,2
38,20,Nicholas,+16.833,2
39,1,Lewis,LEADER,2
39,2,Max,+1.609,2
39,3,Lance,+3.502,2
39,4,Valtteri,+4.005,2
39,5,Sergio,+5.084,2
39,6,Alexander,+6.107,2
39,7,Carlos,+7.506,2
39,8,Pierre,+8.541,2
39,9,Charles,+9.209,2
39,10,Lando,+10.070,2
39,11,Sebastian,+10.785,2
39,12,Daniel,+11.668,2
39,13,Daniil,+12.381,2
39,14,Kevin,+13.293,2
39,15,Kimi,+13.471,2
39,16,Esteban,+14.087,2
39,17,Romain,+15.025,2
39,18,George,+15.729,2
39,19,Antonio,+16.375,2
39,20,Nicholas,+17.411,2
40,1,Lewis,LEADER,2
40,2,Max,+1.595,2
40,3,Lance,+3.588,2
40,4,Valtteri,+4.138,2
40,5,Sergio,+5.084,2
40,6,Alexander,+6.107,2
40,7,Carlos,+7.506,2
40,8,Pierre,+8.541,2
40,9,Charles,+9.209,2
40,10,Lando,+10.223,2
40,11,Sebastian,+10.988,2
40,12,Daniel,+11.668,2
40,13,Daniil,+12.381,2
40,14,Kevin,+13.293,2
40,15,Kimi,+13.774,2
40,16,Esteban,+14.295,2
40,17,Romain,+15.301,2
40,18,George,+15.953,2
40,19,Antonio,+16.375,2
40,20,Nicholas,+17.411,2
41,1,Lewis,LEADER,3
41,2,Max,+1.595,3
41,3,Lance,+3.555,3
41,4,Valtteri,+4.079,3
41,5,Sergio,+5.093,3
41,6,Alexander,+6.127,3
41,7,Carlos,+7.506,3
41,8,Pierre,+8.541,3
41,9,Charles,+9.209,3
41,10,Lando,+10.223,3
41,11,Sebastian,+10.988,3
41,12,Daniel,+11.887,3
41,13,Daniil,+12.597,3
41,14,Kevin,+13.516,3
41,15,Kimi,+13.936,3
41,16,Esteban,+14.295,3
