id,label,date,enddate,constructorName
verstappen,verstappen,1994,2020,ferrari
vettel,vettel,2007,2020,ferrari
villeneuve,villeneuve,1981,2006,ferrari
warwick,warwick,1986,1993,ferrari
watson,watson,1981,1985,ferrari
webber,webber,2002,2013,ferrari
wehrlein,wehrlein,2016,2017,ferrari
wend linger,wend linger,1994,1994,ferrari
wendlinger,wendlinger,1991,2000,ferrari
yamamoto,yamamoto,2010,2010,ferrari
zanardi,zanardi,1991,1999,ferrari
zunino,zunino,1981,1990,ferrari
