overtaker,overtaken,date
Pir,Sur,1981
Pir,Ros,1981
Pir,Piq,1981
Pir,Piq,1981
Pir,Piq,1981
Pir,Laf,1981
Pir,Gia,1981
Pir,Gia,1981
Pir,Gia,1981
Pir,Che,1981
Pir,And,1981
Pir,Man,1981
Pir,Dea,1981
Pir,Dea,1981
Pir,Reb,1981
Pir,Reb,1981
Pir,Pro,1981
Pir,Dec,1981
Pir,Pat,1981
Pir,Pat,1981
Pir,Pat,1981
Pir,Alb,1981
Pir,Dal,1981
Pir,Dal,1981
Alb,Wat,1981
Alb,Sur,1981
Alb,Ros,1981
Alb,Ros,1981
Alb,Jon,1981
Alb,Gia,1981
Alb,Gia,1981
Alb,Gia,1981
Alb,Che,1981
Alb,Sto,1981
Alb,Sal,1981
Alb,Pir,1981
Dal,Wat,1981
Dal,Ros,1981
Dal,Reu,1981
Dal,And,1981
Dal,Man,1981
Dal,Man,1981
Dal,Dea,1981
Dal,Dea,1981
Dal,Dea,1981
Dal,Dec,1981
Dal,Dec,1981
Dal,Pat,1981
Dal,Pat,1981
fittipaldi,alboreto,1993
fittipaldi,alboreto,1993
fittipaldi,suzuki,1993
fittipaldi,suzuki,1993
fittipaldi,suzuki,1993
fittipaldi,barbazza,1993
fittipaldi,barbazza,1993
fittipaldi,barbazza,1993
fittipaldi,barbazza,1993
fittipaldi,barbazza,1993
fittipaldi,baddoer,1993
fittipaldi,warwick,1993
fittipaldi,warwick,1993
fittipaldi,warwick,1993
fittipaldi,decesaris,1993
fittipaldi,boutsen,1993
fittipaldi,boutsen,1993
fittipaldi,badoer,1993
fittipaldi,badoer,1993
fittipaldi,badoer,1993
fittipaldi,badoer,1993
fittipaldi,alliot,1993
fittipaldi,alliot,1993
fittipaldi,alliot,1993
fittipaldi,herbert,1993
fittipaldi,barrichello,1993
fittipaldi,katayama,1993
fittipaldi,outsen,1993
fittipaldi,lehto,1993
fittipaldi,comas,1993
fittipaldi,comas,1993
prost,alboreto,1993
prost,suzuki,1993
prost,suzuki,1993
prost,barbazza,1993
prost,warwick,1993
prost,warwick,1993
prost,boutsen,1993
prost,alliot,1993
prost,alliot,1993
prost,herbert,1993
prost,herbert,1993
prost,barrichello,1993
prost,barrichello,1993
prost,katayama,1993
prost,katayama,1993
prost,lehto,1993
prost,comas,1993
prost,comas,1993
prost,schumacher,1993
prost,schumacher,1993
prost,senna,1993
prost,senna,1993
prost,senna,1993
prost,senna,1993
prost,senna,1993
prost,hill,1993
prost,hill,1993
prost,hill,1993
prost,zanardi,1993
prost,zanardi,1993
prost,fittipaldi,1993
prost,fittipaldi,1993
prost,brundle,1993
prost,brundle,1993
prost,patrese,1993
prost,blundell,1993
prost,blundell,1993
prost,wendlinger,1993
prost,martini,1993
schumacher,suzuki,1993
schumacher,warwick,1993
schumacher,warwick,1993
schumacher,alliot,1993
schumacher,herbert,1993
schumacher,herbert,1993
schumacher,barrichello,1993
schumacher,lehto,1993
schumacher,senna,1993
schumacher,senna,1993
schumacher,senna,1993
schumacher,brundle,1993
schumacher,patrese,1993
schumacher,patrese,1993
schumacher,patrese,1993
schumacher,blundell,1993
schumacher,blundell,1993
schumacher,martini,1993
schumacher,alesi,1993
schumacher,alesi,1993
schumacher,alesi,1993
schumacher,alesi,1993
schumacher,berger,1993
schumacher,prost,1993
schumacher,irvine,1993
brundle,alboreto,1993
brundle,alboreto,1993
brundle,suzuki,1993
brundle,warwick,1993
brundle,decesaris,1993
brundle,boutsen,1993
brundle,alliot,1993
brundle,alliot,1993
brundle,herbert,1993
brundle,herbert,1993
brundle,katayama,1993
brundle,zanardi,1993
brundle,zanardi,1993
brundle,fittipaldi,1993
brundle,blundell,1993
brundle,wendlinger,1993
brundle,wendlinger,1993
brundle,martini,1993
brundle,martini,1993
brundle,martini,1993
brundle,berger,1993
brundle,lamy,1993
lehto,suzuki,1993
lehto,warwick,1993
lehto,warwick,1993
lehto,boutsen,1993
lehto,alliot,1993
lehto,alliot,1993
lehto,alliot,1993
lehto,comas,1993
lehto,fittipaldi,1993
lehto,blundell,1993
lehto,wendlinger,1993
lehto,martini,1993
lehto,alesi,1993
warwick,alboreto,1993
warwick,suzuki,1993
warwick,barbazza,1993
warwick,barbazza,1993
warwick,decesaris,1993
warwick,badoer,1993
warwick,herbert,1993
warwick,zanardi,1993
warwick,fittipaldi,1993
warwick,blundell,1993
warwick,alesi,1993
warwick,berger,1993
comas,alboreto,1993
comas,suzuki,1993
comas,suzuki,1993
comas,warwick,1993
comas,decesaris,1993
comas,boutsen,1993
comas,badoer,1993
comas,badoer,1993
comas,badoer,1993
comas,badoer,1993
comas,alliot,1993
comas,katayama,1993
comas,wendlinger,1993
comas,martini,1993
comas,martini,1993
comas,gounon,1993
hill,suzuki,1993
hill,warwick,1993
hill,warwick,1993
hill,decesaris,1993
hill,herbert,1993
hill,herbert,1993
hill,barrichello,1993
hill,lehto,1993
hill,schumacher,1993
hill,senna,1993
hill,brundle,1993
hill,brundle,1993
hill,patrese,1993
hill,patrese,1993
hill,blundell,1993
hill,wendlinger,1993
hill,alesi,1993
hill,berger,1993
hill,berger,1993
